ISBN,Title,Author,Year-Of-Publication,Publisher,Genre,Description,Average_rating,Ratings_count,Image-URL-S,Image-URL-M,Image-URL-L
9027232938,"On the Medieval Theory of Signs (Foundations of Semiotics, Vol 21)",Umberto Eco,1989,John Benjamins Publishing Co,History,"In the course of the long debate on the nature and the classification of signs, from Boethius to Ockham, there are at least three lines of thought: the Stoic heritage, that influences Augustine, Abelard, Francis Bacon; the Aristotelian tradition, stemming from the commentaries on ,De Interpretatione;, the discussion of the grammarians, from Priscian to the Modistae. Modern interpreters are frequently misled by the fact that the various authors regularly used the same terms. Such a homogeneous terminology, however, covers profound theoretical differences. The aim of these essays is to show that the medieval theory of signs does not represent a unique body of semiotic notions: there are diverse and frequently alternative semiotic theories. This book thus represents an attempt to encourage further research on the still unrecognized variety of the semiotic approaches offered by the medieval philosophies of language.",4.1,10,http://images.amazon.com/images/P/9027232938.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9027232938.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9027232938.01.LZZZZZZZ.jpg
1575450593,"The Kingdoms and the Elves of the Reaches (Keeper Martin's Tales Series, Book 1)",Robert Stanek,2002,Reagent Press,Fantasy,"Ruin Mist was featured in Publisher's Weekly Cover Story. Also recommended by the YA Librarians at VOYA Magazine, Foreword Magazine and in The Complete Idiots Guide to Elves and Fairies, Ancient Art of Faery Magick, Popular Series Fiction for Middle School and Teen Readers: A Reading and Selection Guide, and more.,After the Great War that divided the peoples, the kingdoms of men plunged into a Dark Age that lasted 500 years. To heal the lands and restore the light, the great kings decreed that magic and all that is magical, be it creature, man, or device, shall be cleansed to dust. The cleansing raged for so long that no human could recall a time without it and it is in this time that the Dark Lord Sathar returned from the dark beyond. The one hope of the peoples of Ruin Mist was Queen Mother, the elf queen of old. She saw a way out of everlasting darkness, a path that required the union of the divided peoples. And so it began.",2.71,328,http://images.amazon.com/images/P/1575450593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575450593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575450593.01.LZZZZZZZ.jpg
1577311108,You Can Be Happy No Matter What: Five Principles for Keeping Life in Perspective,Richard Carlson,1999,New World Library,Nonfiction,"'Five principles designed to achieve happiness in the here and now reveal the importance of thought, mood, separate realities, feelings, and the present moment in finding bliss now rather than waiting for it.'.",4.12,1453,http://images.amazon.com/images/P/1577311108.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1577311108.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1577311108.01.LZZZZZZZ.jpg
1556520743,Assata: An Autobiography (Lawrence Hill &amp; Co.),Assata Shakur,1987,Lawrence Hill Books,Nonfiction,"On May 2, 1973, Black Panther Assata Shakur (aka JoAnne Chesimard) lay in a hospital, close to death, handcuffed to her bed, while local, state, and federal police attempted to question her about the shootout on the New Jersey Turnpike that had claimed the life of a white state trooper. Long a target of J. Edgar Hoover's campaign to defame, infiltrate, and criminalize Black nationalist organizations and their leaders, Shakur was incarcerated for four years prior to her conviction on flimsy evidence in 1977 as an accomplice to murder.,This intensely personal and political autobiography belies the fearsome image of JoAnne Chesimard long projected by the media and the state. With wit and candor, Assata Shakur recounts the experiences that led her to a life of activism and portrays the strengths, weaknesses, and eventual demise of Black and White revolutionary groups at the hand ofÂ government officials. The result is a signal contribution to the literature about growing up Black in America that has already taken its place alongside ,The Autobiography of Malcolm X, and the works of Maya Angelou.,Two years after her conviction, Assata Shakur escaped from prison. She was given political asylum by Cuba, where she now resides.",4.56,20406,http://images.amazon.com/images/P/1556520743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556520743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556520743.01.LZZZZZZZ.jpg
1557042586,Scumbler,William Wharton,1996,Newmarket Press,Fiction,"Know Scumbler in his poignant, hilarious life. Get mad at him and even cry with him. Here's Don Quixote, Santa Claus, and Faust rolled into one ""thick shadow"" of a man. A joyous sixty-year-old American street painter lives on the Left Bank in Paris, making a living by creating rentable apartments out of the most unlikely spaces. Mostly, however, he paints with utter delight in the creative act and discovers remarkable characters along his path: crafts-men, students, prostitutes, motorcyclists. He scumbles and fails. He digs twisting tunnels under Paris streets and builds nests: nature nests, rats' nests, birds' nests. He collects clocks and designs his own life from the ""inside."" Wanting to be true beyond honesty, visible past seeing to being, Scumbler scrambles, tumbles, rumbles, rambles through the ecstatic pleasure of creation and the pangs of ordinary existence.",3.7,322,http://images.amazon.com/images/P/1557042586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1557042586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1557042586.01.LZZZZZZZ.jpg
3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,Piper,Fiction,""",Die Entdeckung der Langsamkeit,"" ist auf den ersten Blick zugleich ein Seefahrerroman, ein Roman Ã¼ber das Abenteuer und die Sehnsucht danach und ein Entwicklungsroman. Doch hat Sten Nadolny die Biographie des englischen Seefahrers und Nordpolforschers John Franklin (1786-1847) zu einer subtilen Studie Ã¼ber die Zeit umgeschrieben: die Langsamkeit als eine Kunst, dem Rhythmus des Lebens Sinn zu verleihen. Wie bei einem Palimpsest erscheint hinter den SÃ¤tzen eine andere Schrift, hinter der PrÃ¤gnanz und Redlichkeit der AufklÃ¤rung verbergen sich Humor und Traurigkeit der Romantik.,Von Kindheit an trÃ¤umt John Franklin davon, zur See zu fahren, obwohl er dafÃ¼r denkbar ungeeignet ist: Langsam im Sprechen und Denken, langsam in seinen Reaktionen miÃŸt er die Zeit nach eigenen MaÃŸstÃ¤ben. ZunÃ¤chst erkennt nur sein Lehrer, daÃŸ Johns eigenartige Behinderung auch VorzÃ¼ge hat - was er einmal erfaÃŸt hat, das behÃ¤lt er, das Einzigartige, das Detail begreift er besser als andere. John Franklin geht zur Marine, erlebt den Krieg und das Sterben. Beides trifft ihn um so furchtbarer, als er innerhalb des von ihm kaum begriffenen, chaotisch schnellen Geschehens einzelne VorgÃ¤nge wie in Zeitlupe ablaufen sieht. Er trÃ¤umt von friedlicher Entdeckung, will die legendÃ¤re Nordwestpassage finden.",3.96,2821,http://images.amazon.com/images/P/3492207006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3492207006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3492207006.01.LZZZZZZZ.jpg
1893163210,A Different Kind of Teacher: Solving the Crisis of American Schooling,John Taylor Gatto,2000,Berkeley Hills Books,Nonfiction,"In 1991, shortly after receiving both the New York State and New York City Teacher of the Year Awards, John Gatto resigned to begin a new career as an education reform advocate. In this collection of 16 essays, Gatto analyzes the problems of American education and suggests solutions for revitalizing the system -- prescriptions that run counter to current trends.",4.3,350,http://images.amazon.com/images/P/1893163210.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1893163210.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1893163210.01.LZZZZZZZ.jpg
1550135082,Rogue Primate: An Exploration of Human Domestication,John A. Livingston,1994,Key Porter Books,Science,"Winner of the 1994 Governor General's Award ""If you buy only one book this decade let it be Rogue Primate.""- The Toronto Star (1994)",4.23,43,http://images.amazon.com/images/P/1550135082.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1550135082.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1550135082.01.LZZZZZZZ.jpg
9812348972,Insight Guides Ireland (Insight Guides),Pam Barrett,2003,Insight Guides,Travel,"Some travelers love nothing better than to bathe in the sun. Others revel in immersing themselves in history and culture. Then there are those who are born to shop. We all know the type. In fact, we might ourselves be the type. There are some people for whom shopping is not a necessity but a sport. Insight Shopping Guides are a play book for the avid shopper who wants to level the playing field when he or she competes against natives for the best goods and deals the city has to offer. This series is for the discerning consumer who needs a little help navigating around an unfamiliar city. They are ideal shopping companions for travelers wanting lively, informative background material on the best shopping areas and reliable advice on finding the most reliable service.",3.85,20,http://images.amazon.com/images/P/9812348972.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9812348972.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9812348972.01.LZZZZZZZ.jpg
4889960724,Remembering The Hiragana,James W. Heisig,2001,Kodansha International (JPN),Cultural,"This book will help you teach yourself the writing and reading of all 46 characters each of Japanese hiragana and katakana syllabary from memory. By making use of a method of ""imaginative memory,"" introduced in this book, you will be saved from the order of repetition. Following the method, you will be able to write and read all Japanese Kana in three hours and retain them by means of the incredible mnemonic methods. Instructions at the bottom of each page will ask you to skip backwards and forwards through the book, following the best ""learning order."" The lessons will guide you step by step through this process. As an added bonus, the book includes a supplement on ""Learning How to Remember.""",4.07,233,http://images.amazon.com/images/P/4889960724.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/4889960724.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/4889960724.01.LZZZZZZZ.jpg
